title,published,source,venue,doi,url,pdf_url,score,matched_terms,ai_summary_zh
A BIM-Integrated Digital Twin Framework with AI and IoT for Real-Time Earthmoving Fleet Management in Infrastructure Construction,2026-07-09,OpenAlex,Buildings,https://doi.org/10.3390/buildings16142724,https://doi.org/10.3390/buildings16142724,https://doi.org/10.3390/buildings16142724,55,BIM; bim model; building information model; building information modeling; digital twin; IFC; ifc-based,提出一种BIM集成数字孪生框架（BIM-iDT），通过融合多源物联网传感与基于IFC的BIM模型，结合时空图注意力网络和约束多目标进化优化器，实现土方工程中设备状态的实时识别、生产率预测及智能调度。在高速公路项目验证中，该方法使设备状态识别F1值达0.943，油耗降低12.6%，周期时间缩短9.3%，碳排放减少168吨。
Integrating an Industry Foundation Class extension and a hypergraph in Building Information Modeling for railway station facilities,2026-07-09,OpenAlex,Computers in Industry,https://doi.org/10.1016/j.compind.2026.104519,https://doi.org/10.1016/j.compind.2026.104519,,38,building information model; building information modeling; industry foundation class,基于标题、来源和关键词，该研究提出将工业基础类扩展与超图集成于建筑信息模型中，以支持铁路站场设施的管理。其贡献在于通过IFC扩展和超图方法，增强BIM对铁路站场设施数据的表达与关联能力。
A <scp>GIS</scp> ‐ <scp>BIM</scp> ‐Based Multi‐Criteria Decision Support System for Property Evaluation,2026-07-09,OpenAlex,Transactions in GIS,https://doi.org/10.1111/tgis.70339,https://doi.org/10.1111/tgis.70339,,30,BIM; building information model; building information modeling,提出一种集成GIS、BIM与多准则决策分析的空间决策支持系统，用于根据用户偏好评估和选择房产。通过德国和伊朗的案例验证，该系统能有效整合空间与非空间数据，并基于最佳-最差法获取用户偏好权重，将用户分为三类偏好群体。
"HYBRID STEEL FIBER REINFORCED SELF COMPACTING CONCRETE SYSTEMS A SYNTHESIS OF STRUCTURAL, FLEXURAL, AND DURABILITY PERFORMANCE WITH DIRECTIONS FOR STANDARDIZATION, EDUCATION, AND POLICY REFORM",2026-07-09,OpenAlex,International Research Journal of Modernization in Engineering Technology and Science,https://doi.org/10.56726/irjmets101590,https://doi.org/10.56726/irjmets101590,https://doi.org/10.56726/irjmets101590,27,BIM; building information model; building information modelling,本研究综合了四项关于钢纤维自密实混凝土（SFRSCC）和辅助胶凝材料（SCM）的试验与数值分析，发现纤维增强可使抗震节点延性及残余强度提升15-30%，而火山灰和矿渣替代材料可将氯离子渗透性降低75%以上。基于这些收敛性证据，提出了一种混合SFRSCC-SCM配合比架构，并构建了适用于建筑信息模型（BIM）和物联网（IoT）搅拌站的数字化配合比设计与质量保证框架。
A framework for advancing competitive advantage in Egyptian architectural design firms through change-driven technological innovation,2026-07-09,OpenAlex,International Journal of Architectural Research Archnet-IJAR,https://doi.org/10.1108/arch-04-2026-0279,https://doi.org/10.1108/arch-04-2026-0279,,27,BIM; building information model; building information modeling,提出一个框架，通过变革驱动的技术创新提升埃及建筑设计事务所的竞争优势，采用定性与定量方法，包括文献综述、案例研究和问卷调查，发现事务所虽认识到BIM等技术的价值，但实际采纳有限。
Multi-Level IFC Exchange-Readiness Assessment Framework for Whole Life Carbon Inventory Preparation and Circularity Observability: Prototype and First Findings,2026-07-08,OpenAlex,Buildings,https://doi.org/10.3390/buildings16142714,https://doi.org/10.3390/buildings16142714,https://www.mdpi.com/2075-5309/16/14/2714/pdf?version=1783515103,58,BIM; bim-based; IFC; ifc model; ifc models; industry foundation class; industry foundation classes,提出了一种多层级IFC交换就绪度评估框架，用于建筑全生命周期碳清单编制和循环性可观测性。该框架通过L1至L4b渐进式检查层级，评估IFC模型中元素识别、几何数量、材料属性等信息的完备性，并基于RICS标准实现异质子类别的公平比较，原型验证揭示了属性定义缺失等关键信息缺口。
HBIM Models of Historic Buildings as a Subject of Copyright Protection: Licensing Challenges and Data Interoperability,2026-07-08,OpenAlex,Applied Sciences,https://doi.org/10.3390/app16146857,https://doi.org/10.3390/app16146857,https://doi.org/10.3390/app16146857,50,BIM; bim model; bim models; building information model; building information modelling; IFC,本研究结合欧盟（尤其是波兰）版权法的教义分析、BIM/HBIM文献综述、信息管理标准审查及弗罗茨瓦夫大学历史建筑HBIM项目案例，探讨历史建筑信息模型（HBIM）的版权保护与许可挑战。研究发现，HBIM模型可能构成版权保护的合作作品，需明确经济权利、衍生作品及模型更新规则；同时，IFC格式在数据交换中未能一致保留作者、许可条件和修订历史，暴露出技术与法律互操作性之间的差距。
Operation &amp; Maintenance of Government Structures in the Current Scenario for Future Perspective,2026-07-08,OpenAlex,International Scientific Journal of Engineering and Management,https://doi.org/10.55041/isjem08033,https://doi.org/10.55041/isjem08033,,27,BIM; building information model; building information modeling,通过分析印度中央公共工程部对政府建筑及古迹的运维现状，探讨了建筑信息模型、物联网和人工智能等新兴技术在预防性和预测性维护中的应用潜力，为提升公共基础设施的可持续性与韧性提供了政策建议。
"An Integrated Framework of Dynamic Capabilities, Digital Transformation, and Organizational Resilience: A Multimethod Qualitative Study in the Construction Sector",2026-07-08,OpenAlex,Journal of Construction Engineering and Management,https://doi.org/10.1061/jcemd4.coeng-17177,https://doi.org/10.1061/jcemd4.coeng-17177,,27,BIM; building information model; building information modeling,基于对10位资深建筑业从业者的半结构化访谈和6份行业报告的内容分析，采用多方法定性研究，揭示了动态能力通过感知、捕捉和转型的微观基础驱动数字化转型，进而利用BIM等数字技术提升建筑企业的组织韧性。
Historical Evolution of Buildability in the Global Construction Industry,2026-07-08,OpenAlex,,https://doi.org/10.1201/9781003747284-3,https://doi.org/10.1201/9781003747284-3,,22,building information model; building information modelling,通过梳理全球建筑业可建造性的历史演变，追溯其从早期工业影响到作为集成项目交付核心组成部分的发展历程，分析了工业化、专业分化及生产率问题对设计融入施工知识的推动，并阐述了1980年代以来CIRIA、CII、新加坡BCA等机构及BIM、精益建造、制造与装配设计等技术的贡献。
